Type,F1,F2,F3,F4
t,0.20430706,0.196598812,0.400905872,0.267270581
m,0.150058521,0.032162309,0.18222083,0.121480553
m,0.305392323,0.058203142,0.363595465,0.242396977
t,0.356941278,0.126724569,0.483665847,0.322443898
t,0.67900898,0.23912683,0.91813581,0.61209054
m,0.407584385,0.197689517,0.605273902,0.403515935
m,0.137330196,0.143394565,0.280724761,0.187149841
t,0.19390826,0.04787777,0.24178603,0.161190687
t,0.094111914,0.065003069,0.159114983,0.106076655
t,1.050839385,0.429661469,1.480500854,0.987000569
m,0.142583778,0.057054169,0.199637947,0.133091965
t,0.704225183,0.33236466,1.036589843,0.691059895
m,0.445027762,0.090372774,0.535400536,0.356933691
t,0.473565742,0.222204569,0.695770311,0.463846874
m,0.251660802,0.088828839,0.340489641,0.226993094
m,0.710277025,0.24400376,0.954280785,0.63618719
m,1.557230428,0.560756836,2.117987264,1.411991509
t,0.004345791,0.043834655,0.048180446,0.032120297
t,0.657444693,0.186091725,0.843536418,0.562357612
m,-0.214580689,0.116729239,-0.09785145,-0.0652343
t,0.049258217,0.067698096,0.116956313,0.077970875
t,0.074181458,0.044295254,0.118476712,0.078984475
t,0.484498463,0.133240953,0.617739416,0.411826277
m,0.071447659,0.044284096,0.115731755,0.077154503
m,0.660051271,0.440957851,1.101009122,0.734006081
m,0.306078617,0.062585468,0.368664085,0.245776057
m,0.660168163,0.269589096,0.929757259,0.619838173
m,0.599271771,0.29212652,0.891398291,0.594265527
t,0.095064695,0.06694396,0.162008655,0.10800577
t,0.126430818,0.060210998,0.186641816,0.124427877
t,0.431260419,0.118404812,0.549665231,0.366443487
m,0.291085318,0.119044276,0.410129594,0.273419729
t,0.204280773,0.05178497,0.256065743,0.170710495
m,0.345208379,0.090597365,0.435805744,0.290537163
t,0.253671689,0.056783668,0.310455357,0.206970238
t,0.181037555,0.037731362,0.218768917,0.145845945
t,0.468568812,0.069758636,0.538327448,0.358884965
t,0.347005214,0.088704483,0.435709697,0.290473131
m,0.344218526,0.089501712,0.433720238,0.289146825
m,0.158704889,0.062612354,0.221317243,0.147544829
m,0.82087339,0.120786798,0.941660188,0.627773459
m,0.356990902,0.155608789,0.512599691,0.341733127
m,0.125152381,0.07460692,0.199759301,0.133172867
m,-0.019357965,0.033896765,0.0145388,0.009692533
t,0.343077082,0.089846937,0.432924019,0.288616013
m,0.030237979,0.046296739,0.076534718,0.051023145
m,0.070746387,0.024758803,0.09550519,0.063670127
t,0.362719749,0.142800934,0.505520683,0.337013789
t,0.093126664,0.085339182,0.178465846,0.118977231
t,0.082474721,0.033899222,0.116373943,0.077582629
t,0.571749397,0.074894509,0.646643906,0.431095937
t,0.20218102,0.093789769,0.295970789,0.197313859
t,0.306828073,0.033467831,0.340295904,0.226863936
m,0.259658643,0.054597678,0.314256321,0.209504214
m,0.189027443,0.066560569,0.255588012,0.170392008
m,-0.417014424,0.045729025,-0.371285399,-0.247523599
m,0.518405456,0.081160382,0.599565838,0.399710559
t,0.030184035,0.073088157,0.103272192,0.068848128
t,0.065090193,0.101168096,0.166258289,0.110838859
m,0.464045966,0.238219679,0.702265645,0.468177097
t,0.582622968,0.124168837,0.706791805,0.471194537
t,0.984764158,0.345295036,1.330059194,0.886706129
m,0.239409045,0.087215654,0.326624699,0.217749799
t,-0.085635862,0.107924534,0.022288672,0.014859115
m,0.059807545,0.036619387,0.096426932,0.064284621
t,0.177026243,0.108278798,0.285305041,0.190203361
t,0.023300555,0.070813246,0.094113801,0.062742534
t,0.369457818,0.110321072,0.47977889,0.319852593
m,0.203069145,0.021659778,0.224728923,0.149819282
t,-0.21730672,0.057531098,-0.159775622,-0.106517081
t,0.195063206,0.055493276,0.250556482,0.167037655
m,0.429606423,0.133290147,0.56289657,0.37526438
m,0.427469144,0.086152336,0.51362148,0.34241432
m,0.286787723,0.078893857,0.36568158,0.24378772
m,0.819769415,0.290674084,1.110443499,0.740295666
m,0.250694232,0.227284706,0.477978938,0.318652625
m,0.49637344,0.138412276,0.634785716,0.423190477
m,0.356113678,0.140903708,0.497017386,0.331344924
m,0.407249586,0.070116136,0.477365722,0.318243815
t,0.084755732,0.108717546,0.193473278,0.128982185
m,0.28157015,0.065745157,0.347315307,0.231543538
m,0.172817044,0.072137996,0.24495504,0.16330336
