,Unnamed: 0,HOTEL NAME,LOCALITY,REGION,OLD PRICE,PRICE AFTER DISCOUNT,% DISCOUNT,STATUS
57,57,OYO Rooms 567 Paharganj Near RK Ashram Metro,Near R.K. Ashram Metro Station,Delhi, 1949, 1462,25,1
58,58,OYO Rooms 599 Rajguru Road Paharganj 2,"Rajguru Road, Chuna Mandi",Delhi, 1149, 862,25,1
59,59,OYO Rooms 300 IGI Airport 3,"Behind Prem Maruti Showroom, Mahipalpur",Delhi, 1749, 1312,25,1
60,60,OYO Rooms 641 Sector 7 Palam Extension,"Sector 7, Near Shree Makhan Sweet, Ramphal Chowk",Delhi, 1849, 1387,25,1
61,61,OYO Premium 529 Jasola Vihar,"Pocket-2, Jasola",Delhi, 2699, 2024,25,1
62,62,OYO Premium 143 Rajouri Garden Janta Market,Rajouri Garden,Delhi, 3199, 2399,25,1
63,63,OYO Rooms 565 Airport Travellers Delight,"Street No.7, Near IGI Airport, Mahipalpur",Delhi, 2699, 2024,25,1
64,64,OYO Premium 220 East Of Kailash Extension,East of Kailash,Delhi, 3799, 2849,25,1
65,65,OYO Rooms 666 Nehru Place Near Metro Station,Nehru Enclave,Delhi, 3299, 2474,25,1
66,66,OYO Rooms 350 Delhi Gate ,Darya Ganj,Delhi, 2499, 1874,25,1
67,67,OYO Premium 106 Paharganj,Paharganj,Delhi, 2349, 1762,25,1
68,68,OYO Rooms 044 Patel Nagar Delhi,East Patel Nagar,Delhi, 2299, 1724,25,1
69,69,OYO Rooms 671 Dabri Palam Road,Main Mahiveer Enclave in front of Sulabh International Dabri Palam Road,Delhi, 1849, 1387,25,1
70,70,OYO Rooms 553 Paharganj Flyover 1,"D.B. Gupta Road, Paharganj",Delhi, 1799, 1349,25,1
71,71,OYO Rooms 111 Paharganj 54,Paharganj,Delhi, 1349, 1012,25,1
72,72,OYO Rooms 105 Paharganj DB Gupta Road 2,Paharganj,Delhi, 1449, 1087,25,1
73,73,OYO Rooms 361 Paharganj Near Darbar Sweets,Pahar Ganj,Delhi, 1499, 1124,25,1
74,74,OYO Premium 532 GK1 M Block Market 1,Greater Kailash 1,Delhi, 4649, 3487,25,1
75,75,OYO Rooms 027 Karol Bagh 8/41,Karol Bagh,Delhi, 1649, 1237,25,1
76,76,OYO Rooms 358 Near Jasola Sports Complex,Jasola,Delhi, 1649, 1237,25,1
77,77,OYO Premium 236 Malviya Nagar Metro,Malviya Nagar,Delhi, 3999, 2999,25,1
78,78,OYO Homes 678 Jangpura Birbal Road,Jangpura Extension,Delhi, 1699, 1274,25,1
79,79,OYO Apartments 561 Ramphal Chowk,"Palam Extension, Sector 7, Near Gold's Gym",Delhi, 1899, 1424,25,1
80,80,OYO Rooms 038 Jamia River View,Jamia Nagar,Delhi, 1399, 1049,25,1
81,81,OYO Premium 483 Lajpat Nagar Ring Road 2,Ring Road,Delhi, 4199, 3149,25,1
82,82,OYO Homes 382 Pitampura Metro Station,Road no 44,Delhi, 2149, 1612,25,1
83,83,OYO Premium 123 Hauz Khas,Safdarjung Enclave,Delhi, 3649, 2737,25,1
84,84,OYO Rooms 115 Main Bazar Paharganj,Near Imperial Cinema,Delhi, 1249, 937,25,1
85,85,OYO Rooms 296 Railway Station Paharganj 2,Paharganj,Delhi, 1449, 1087,25,1
86,86,OYO Homes 375 South Extension 1 H Block,South Extension - 1,Delhi, 2249, 1687,25,1
87,87,OYO Rooms 297 PVR Saket,Saket,Delhi, 3449, 2587,25,1
88,88,OYO Rooms 065 Janakpuri Near Dabri Mod,"Pankha Road,Dabri Mor",Delhi, 2899, 2174,25,1
89,89,OYO Rooms 136 Karol Bagh 5/25,Karolbagh,Delhi, 1599, 1199,25,1
90,90,OYO Rooms 396 Nirman Vihar Metro,Near Nirman Vihar Metro Station,Delhi, 2449, 1837,25,1
91,91,OYO Rooms 268 Gali Hari Mandir Paharganj,Paharganj,Delhi, 1249, 937,25,1
92,92,OYO Rooms 277 Near Jhandewalan Metro,Karol Bagh,Delhi, 2099, 1574,25,1
93,93,OYO Premium 672 Paharganj Police Station,"Street No.1, Multani Dhanda, Paharganj",Delhi, 1949, 1462,25,1
94,94,OYO Rooms 043 Nehru Place Extension,Jasola,Delhi, 1499, 1124,25,1
95,95,OYO Rooms 683 Near T3 Airport Delhi,Kapashera,Delhi, 2299, 1724,25,1
96,96,OYO Rooms 596 Main Bazaar Paharganj Gali No 1,"Main Bazar, 6 Tooti Chowk",Delhi, 1299, 974,25,1
97,97,OYO Rooms 609 Paharganj Near NDLS,"Ram Nagar, Street No.1",Delhi, 1599, 1199,25,1
98,98,OYO Rooms 266 7A/36 Channa Market Karol Bagh,Karol Bagh,Delhi, 1699, 1274,25,1
99,99,OYO Rooms 173 Paharganj Qutub Road,Ram Nagar,Delhi, 1449, 1087,25,1
100,100,OYO Rooms 173 Paharganj Qutub Road,Ram Nagar,Delhi, 1449, 1087,25,1
101,101,OYO Rooms 578 Karol Bagh 16/7 Arya Samaj Road,"Arya Samaj Road, Opposite Satbhrawan School",Delhi, 1349, 1012,25,1
102,102,OYO Rooms 230 Near RK Ashram Metro Paharganj,Paharganj,Delhi, 1599, 1199,25,1
103,103,OYO Rooms 626 DB Gupta NDLS,"Near Gate No 1, Opposite Sheila Cinema",Delhi, 1849, 1387,25,1
104,104,OYO Rooms 451 Gali No 3 Ram Nagar Paharganj,"Saran Building, Gali No. 3",Delhi, 1599, 1199,25,1
105,105,OYO Flagship 497 Green Park,"B Block, Safdarjung Enclave",Delhi, 5049, 3787,25,0
106,106,OYO Flagship 500 New Friends Colony,"Plot no. A-44, A Block, New Friends Colony, Delhi",Delhi, 3899, 2924,25,0
107,107,OYO Flagship 494 East of Kailash,"Plot no. E-301, E Block, East of Kailash, Delhi",Delhi, 3699, 2774,25,0
108,108,OYO Flagship 512 Safdarjung Enclave,"B Block, Safdurjung Enclave",Delhi, 3449, 2587,25,0
109,109,OYO Flagship 573 Paharganj NDLS,"Arakashan Road, Paharganj",Delhi, 1799, 1349,25,0
110,110,OYO Premium 526 Wazirpur Industrial Area,"Phase 2, Ashok Vihar, New Delhi",Delhi, 6099, 4574,25,0
111,111,OYO Rooms 610 Green Park Extension,Hauz Khas Village,Delhi, 4999, 3749,25,0
112,112,OYO Rooms 606 New Friends Colony 1,New Friends Colony,Delhi, 3849, 2887,25,0
113,113,OYO Rooms 699 North Campus,"Phase 2, Ashok Vihar",Delhi, 2349, 1762,25,0
114,114,OYO Premium 538 Hauz Khas Metro,"S Block, Panchsheel Park",Delhi, 3349, 2512,25,0
115,115,OYO Premium 336 Resort International Airport Delhi,Kapashera,Delhi, 5799, 4349,25,0
116,116,OYO Rooms 592 Deer Park,SFE,Delhi, 3299, 2474,25,0
117,117,OYO Rooms 698 Paharganj NDLS,"Arakashan Road,Pahargankj",Delhi, 2049, 1537,25,0
118,118,OYO Rooms 697 Karol Bagh,"Desh Bandhu Gupta Road, Beadonpura, Karol Bagh",Delhi, 2049, 1537,25,0
119,119,OYO Flagship 551 Karol Bagh,"Next to Baptist Church,D.B Gupta Road, Near Police Station, Karol Bagh",Delhi, 3349, 2512,25,0
120,120,OYO Flagship 551 Karol Bagh,"Next to Baptist Church,D.B Gupta Road, Near Police Station, Karol Bagh",Delhi, 3349, 2512,25,0
121,121,OYO Rooms 676 Safdarjung Enclave 2,"B Block, Safdurjung Enclave",Delhi, 3449, 2587,25,0
122,122,OYO Rooms 591 Hauz Khas Village,SDA,Delhi, 3249, 2437,25,0
123,123,OYO Rooms 555 Pitampura,"Rajdhani Enclave,Pitampura",Delhi, 3299, 2474,25,0
124,124,OYO Rooms 545 Rohini Pitampura,"Saraswati Vihar, Pitampura",Delhi, 3149, 2362,25,0
125,125,OYO Rooms 547 Paschim Vihar 2,"Paschim Enclave, Nh-10",Delhi, 2999, 2249,25,0
126,126,OYO Rooms 354 GK2 M Block Market,"E Block,Greater Kailash II",Delhi, 2749, 2062,25,0
127,127,OYO Rooms 498 South Ex Market,"C Block, South Extension 1",Delhi, 2399, 1799,25,0
128,128,OYO Premium 608 GK2 M Block Market,"Ground Floor, Greater Kailash II, Road No. 10, Near M Block Market",Delhi, 2749, 2062,25,0
129,129,OYO Rooms 010 Karol Bagh 1078,"Karol Bagh, New Delhi",Delhi, 1699, 1274,25,0
130,130,OYO Premium 208 GK 1 M Block Market,Greater Kailash,Delhi, 6849, 5137,25,0
131,131,OYO Rooms 091 WEA Karol Bagh,Karol Bagh,Delhi, 1999, 1499,25,0
132,132,OYO Rooms 124 Kirti Nagar,Kirti Nagar,Delhi, 1549, 1162,25,0
133,133,OYO Premium 404 International Airport Terminal 3 Extension,"A Block, Mahipalpur Extension, NH8, New",Delhi, 3549, 2662,25,0
